"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 27 23:42:56 IST 2021","Fri Aug 27 23:44:23 IST 2021","87204","","Verify jobdetails functionality on tools page","","Verify jobdetails functionality on tools page","jobdetails","jobdetails",""
"passed","Fri Aug 27 20:42:49 IST 2021","Fri Aug 27 20:59:24 IST 2021","994390","","Validating masked field validations","","Validating masked field validations","Verifying the masked fields","Verifying the masked fields",""
"passed","Fri Aug 27 23:46:47 IST 2021","Fri Aug 27 23:46:47 IST 2021","40","","Profile tab","","Profile tab","profile tab functionality","profile tab functionality",""
"passed","Fri Aug 27 21:37:56 IST 2021","Fri Aug 27 21:57:19 IST 2021","1162543","","validating Reports module","","validating Reports module","Verify functionality of reports module","Verify functionality of reports module",""
"passed","Fri Aug 27 23:53:07 IST 2021","Fri Aug 27 23:53:07 IST 2021","506","","post data to 15five server","","post data to 15five server","should get the user details using ID","should get the user details using ID",""
"failed","Fri Aug 27 23:03:52 IST 2021","Fri Aug 27 23:32:07 IST 2021","1694005","","Verify Documents functionality on tools page","","Verify Documents functionality on tools page","toolbardocuments","toolbardocuments",""
"passed","Fri Aug 27 21:00:44 IST 2021","Fri Aug 27 21:35:05 IST 2021","2060574","","DashBoard","","DashBoard"," verify dashboard functionality"," verify dashboard functionality",""
"passed","Fri Aug 27 23:40:00 IST 2021","Fri Aug 27 23:42:39 IST 2021","158823","","Verify Calendar functionality on tools page","","Verify Calendar functionality on tools page","calendar","calendar",""
"passed","Fri Aug 27 23:51:22 IST 2021","Fri Aug 27 23:52:50 IST 2021","87872","","Profile Image","","Profile Image","Verifying profile image functions","Verifying profile image functions",""
"passed","Fri Aug 27 22:26:24 IST 2021","Fri Aug 27 22:31:24 IST 2021","300193","","verify off  boarding  a user","","verify off  boarding  a user","should complete off boarding user user","should complete off boarding user user",""
"passed","Fri Aug 27 23:53:08 IST 2021","Fri Aug 27 23:53:09 IST 2021","714","","post data to 15five server","","post data to 15five server","should delete the record from 15five","should delete the record from 15five",""
"failed","Fri Aug 27 21:59:12 IST 2021","Fri Aug 27 22:11:46 IST 2021","754208","","People page Functions","","People page Functions","Validating people page functionalities","Validating people page functionalities",""
"passed","Fri Aug 27 22:16:03 IST 2021","Fri Aug 27 22:25:34 IST 2021","570705","","verify onboarding a user","","verify onboarding a user","access home page","access home page",""
"passed","Fri Aug 27 23:46:50 IST 2021","Fri Aug 27 23:47:53 IST 2021","62895","","TimeOff tab","","TimeOff tab","Verify functionalities of time off tab","Verify functionalities of time off tab",""
"passed","Fri Aug 27 23:46:03 IST 2021","Fri Aug 27 23:46:40 IST 2021","36165","","Performance Tab","","Performance Tab","verify performance tab","verify performance tab",""
"passed","Fri Aug 27 23:48:01 IST 2021","Fri Aug 27 23:51:03 IST 2021","181567","","Verify Updates functionality on tools page","","Verify Updates functionality on tools page","Updates","Updates",""
"passed","Fri Aug 27 23:44:35 IST 2021","Fri Aug 27 23:45:55 IST 2021","80026","","People page","","People page","verify people page functionality for Nick persona","verify people page functionality for Nick persona",""
"passed","Fri Aug 27 23:34:15 IST 2021","Fri Aug 27 23:38:06 IST 2021","230787","","Workflows","","Workflows","Verifying the functionality of workflows","Verifying the functionality of workflows",""
"failed","Fri Aug 27 22:31:54 IST 2021","Fri Aug 27 22:44:37 IST 2021","763197","","verify Email module","","verify Email module","should verify and validate email templates","should verify and validate email templates",""
"failed","Fri Aug 27 22:12:54 IST 2021","Fri Aug 27 22:15:48 IST 2021","174286","","pending Hires ","","pending Hires ","Verifying pending Hires functionality","Verifying pending Hires functionality",""
"passed","Fri Aug 27 23:53:07 IST 2021","Fri Aug 27 23:53:08 IST 2021","765","","post data to 15five server","","post data to 15five server","Should update the user in 15five server","Should update the user in 15five server",""
"passed","Fri Aug 27 22:45:46 IST 2021","Fri Aug 27 22:54:07 IST 2021","500602","","profileSetup","","profileSetup","verifying the functionalities of profile setup page","verifying the functionalities of profile setup page",""
"passed","Fri Aug 27 23:53:00 IST 2021","Fri Aug 27 23:53:07 IST 2021","6081","","post data to 15five server","","post data to 15five server","should post the data without any issues","should post the data without any issues",""
"passed","Fri Aug 27 22:54:56 IST 2021","Fri Aug 27 23:03:07 IST 2021","491742","","verify tasks module","","verify tasks module","should validate tasks","should validate tasks",""
"passed","Fri Aug 27 23:38:30 IST 2021","Fri Aug 27 23:38:30 IST 2021","39","","Permissions","","Permissions","Creating new employee role and adding a member to created role","Creating new employee role and adding a member to created role",""
"passed","Fri Aug 27 23:38:33 IST 2021","Fri Aug 27 23:39:50 IST 2021","76392","","Algolia Search","","Algolia Search","Verifying algolia search functionality","Verifying algolia search functionality",""
